Short_Name,Lat,Long
GLOBAL CITIZENSHIP,41.807579,-87.740097
ACE TECH HS,41.796122,-87.625849
LOCKE A,41.877248,-87.705235
AMANDLA HS,41.770802,-87.635472
ASPIRA - EARLY COLLEGE HS,41.937298,-87.727096
ASPIRA - HAUGAN,41.966406,-87.721825
AUSTIN BUS & ENTRP HS,41.884205,-87.761891
BRONZEVILLE LIGHTHOUSE,41.819277,-87.626622
CATALYST - CIRCLE ROCK,41.882322,-87.765322
CHICAGO ARTS HS,41.899377,-87.694945
CICS - AVALON/SOUTH SHORE,41.743179,-87.587928
CICS - BASIL,41.794043,-87.670243
CICS - BUCKTOWN,41.922415,-87.681358
CICS - LOOMIS,41.720246,-87.657561
CICS - IRVING PARK,41.950891,-87.710492
CICS - PRAIRIE,41.684433,-87.616888
CICS - WASHINGTON PARK,41.783617,-87.622068
CICS - WEST BELDEN,41.921687,-87.776749
CICS - WRIGHTWOOD,41.745365,-87.692614
CICS - ELLISON HS,41.748382,-87.66898
CICS - LONGWOOD,41.721221,-87.655768
CICS - NORTHTOWN HS,41.990245,-87.726504
CHICAGO MATH & SCIENCE HS,42.013031,-87.674818
CHICAGO VIRTUAL,41.88055,-87.649772
COMMUNITY SERVICES WEST HS,41.864952,-87.725022
ERIE,41.906771,-87.694364
FRAZIER CHARTER,41.862077,-87.717642
GALAPAGOS,41.897313,-87.721959
HOPE INSTITUTE,41.883362,-87.668077
KIPP - ASCEND,41.85837,-87.721071
NKRUMAH,41.69804,-87.631058
LEARN - BUTLER,41.867273,-87.710679
LEARN - CAMPBELL,41.877861,-87.698739
LEARN - EXCEL,41.874687,-87.686568
LEGACY,41.856859,-87.730348
NAMASTE,41.8257,-87.667724
NOBLE - NOBLE HS,41.900191,-87.662628
NOBLE - COMER HS,41.764083,-87.601974
NOBLE - GOLDER HS,41.895282,-87.664483
NOBLE - PRITZKER HS,41.915214,-87.730127
NOBLE - RAUNER HS,41.892425,-87.660859
NOBLE - ROWE CLARK HS,41.895362,-87.718047
NOBLE - UIC HS,41.865817,-87.676111
NORTH LAWNDALE - CHRISTIANA HS,41.858564,-87.708987
NORTH LAWNDALE - COLLINS HS,41.864146,-87.700681
AHS - PASSAGES,41.983371,-87.67116
PERSPECTIVES - LEADERSHIP HS,41.745961,-87.652045
PERSPECTIVES - TECH HS,41.745949,-87.650657
PERSPECTIVES - JOSLIN HS,41.855999,-87.628531
PERSPECTIVES - MATH & SCI HS,41.827784,-87.624788
PLATO,41.87276,-87.763337
POLARIS,41.89255,-87.707796
PROLOGUE - EARLY COLLEGE HS,41.90307,-87.663541
PROVIDENCE ENGLEWOOD,41.775367,-87.663996
SHABAZZ - SHABAZZ,41.752458,-87.600255
SHABAZZ - DUSABLE HS,41.804309,-87.625015
SHABAZZ - SIZEMORE,41.76739,-87.667639
U OF C - DONOGHUE,41.827726,-87.608501
U OF C - NKO,41.811183,-87.598786
U OF C - WOODLAWN HS,41.77813,-87.598114
U OF C - WOODSON,41.813547,-87.608426
UNO - ZIZUMBO,41.810135,-87.730495
UNO - TORRES,41.8082,-87.73045
UNO - DE LAS CASAS,41.859504,-87.667949
UNO - FUENTES,41.937476,-87.699594
UNO - PAZ,41.850035,-87.692551
UNO - TAMAYO,41.79993,-87.693862
UNO - GARCIA HS,41.809171,-87.730467
URBAN PREP - ENGLEWOOD HS,41.781498,-87.634357
YOUNG WOMENS HS,41.844544,-87.618724
UNO - MARQUEZ,41.808309,-87.697394
CHICAGO TECH HS,41.863301,-87.659095
CICS - BOND,41.653663,-87.605039
EPIC HS,41.744849,-87.550222
ROWE,41.907797,-87.664072
NOBLE - BULLS HS,41.878809,-87.678195
NOBLE - MUCHIN HS,41.88274,-87.626338
UNO - CISNEROS,41.822884,-87.693996
URBAN PREP - WEST HS,41.86254,-87.660107
INSTITUTO - HEALTH,41.845967,-87.68724
URBAN PREP - BRONZEVILLE HS,41.831118,-87.613629
NOBLE - JOHNSON HS,41.778369,-87.635117
LEARN - SOUTH CHICAGO,41.733333,-87.54558
CICS - HAWKINS HS,41.653141,-87.601873
PROLOGUE - JOHNSTON HS,41.721136,-87.662416
LEARN - PERKINS,41.743122,-87.665721
UNO - SOCCER ELEM,41.801042,-87.708797
CICS - CHICAGOQUEST HS,41.907797,-87.645561
UNO - SANTIAGO,41.900344,-87.689896
CATALYST - MARIA,41.770992,-87.693075
MONTESSORI ENGLEWOOD,41.774572,-87.676147
NOBLE - HANSBERRY HS,41.734442,-87.650987
NOBLE - DRW HS,41.869328,-87.711654
LEGAL PREP HS,41.881733,-87.733778
UNO - CLEMENTE,41.917952,-87.78783
UNO - ROGERS PARK,42.016476,-87.684406
YCCS - SCHOLASTIC ACHIEVEMENT,41.880447,-87.742539
YCCS - MCKINLEY,41.841331,-87.625331
YCCS - ASPIRA PANTOJA,41.938187,-87.727137
YCCS - ASSOCIATION HOUSE,41.901572,-87.70686
YCCS - AUSTIN CAREER,41.894976,-87.760221
YCCS - CCA ACADEMY,41.864943,-87.723662
YCCS - HOUSTON,41.773962,-87.61574
YCCS - YOUTH DEVELOPMENT,41.751377,-87.641731
YCCS - CAMPOS,41.90285,-87.696006
YCCS - INNOVATIONS,41.883047,-87.627734
YCCS - ADDAMS,41.857208,-87.644888
YCCS - LATINO YOUTH,41.854665,-87.69543
YCCS - OLIVE HARVEY,41.712922,-87.592333
LITTLE BLACK PEARL HS,41.809695,-87.59934
YCCS - SULLIVAN,41.746287,-87.578492
YCCS - TRUMAN,41.965295,-87.659239
YCCS - VIRTUAL,41.876317,-87.674138
YCCS - WEST TOWN,41.890803,-87.702053
YCCS - WESTSIDE HOLISTIC,41.90224,-87.74881
YCCS - YOUTH CONNECTION,41.832072,-87.626781
KIPP CHICAGO - CREATE,41.891816,-87.746614
CAMELOT - CHICAGO EXCEL HS,41.691953,-87.654248
INSTITUTO - LOZANO HS,41.845446,-87.684065
UNO - SOCCER HS,41.801762,-87.711025
YCCS - CHATHAM,41.730131,-87.60698
LEARN - 7,41.88741,-87.701397
UNO - BRIGHTON PARK,41.813109,-87.693238
NOBLE - BUTLER HS,41.706667,-87.602573
NOBLE - BAKER HS,41.734622,-87.556201
CHRISTOPHER HOUSE,41.922181,-87.757522
CHICAGO COLLEGIATE,41.679318,-87.617968
INTRINSIC HS,41.938988,-87.741129
KIPP CHICAGO - BLOOM,41.793556,-87.639967
INSTITUTO - LOZANO MASTERY HS,41.845957,-87.685903
LEARN - MIDDLE,41.887413,-87.702704
HORIZON - SOUTHWEST,41.795201,-87.683963
NOBLE - ITW SPEER HS,41.92563,-87.769808
NOBLE - ACADEMY HS,41.906879,-87.645577
FOUNDATIONS,41.694671,-87.653535
PATHWAYS - BRIGHTON PARK HS,41.808226,-87.702645
CAMELOT - EXCEL WOODLAWN HS,41.759749,-87.556487
CAMELOT - EXCEL SOUTHWEST HS,41.765929,-87.69073
KIPP CHICAGO - ASCEND PRIMARY,41.861174,-87.709287
CHICAGO VOCATIONAL HS,41.737174,-87.573268
DUNBAR HS,41.840226,-87.617637
JONES HS,41.873066,-87.627675
PROSSER HS,41.920059,-87.761048
PAYTON HS,41.901575,-87.635385
RICHARDS HS,41.802881,-87.662278
NORTH-GRAND HS,41.911674,-87.735238
SIMEON HS,41.745781,-87.63541
WESTINGHOUSE HS,41.889977,-87.707332
HANCOCK HS,41.791464,-87.72447
AMUNDSEN HS,41.975067,-87.679484
BOGAN HS,41.749376,-87.721097
FARRAGUT HS,41.84856,-87.708706
FENGER HS,41.689951,-87.637572
ROBESON HS,41.769714,-87.637153
FOREMAN HS,41.939797,-87.754167
GAGE PARK HS,41.791013,-87.688954
HARLAN HS,41.718372,-87.620623
HARPER HS,41.775124,-87.669089
HIRSCH HS,41.753748,-87.601727
HYDE PARK HS,41.782257,-87.586615
KELLY HS,41.818729,-87.694639
KELVYN PARK HS,41.927918,-87.735999
KENNEDY HS,41.789961,-87.78084
LAKE VIEW HS,41.954764,-87.668953
LANE TECH HS,41.946645,-87.691013
MANLEY HS,41.870939,-87.699896
MARSHALL HS,41.878444,-87.70805
MATHER HS,41.987589,-87.702496
MORGAN PARK HS,41.692035,-87.665658
BROOKS HS,41.692763,-87.616353
PHILLIPS HS,41.82388,-87.619796
ROOSEVELT HS,41.964828,-87.714819
SCHURZ HS,41.946365,-87.735612
SENN HS,41.989029,-87.667136
